Школа,Область,Район,Дата заповнення анкети,"В Україні незаможні люди, зазвичай, є кращими, ніж люди із великими статками",Для вирішення проблеми корупції потрібно посадити всіх корупціонерів за грати,Запорукою успіху в житті є…?,Вчитись потрібно в першу чергу тому що…?,Якою мірою слід дозволяти переїжджати до України людям іншої раси чи національності,Хто така еліта?,Пропозиції «швидко розбагатіти в інтернеті» можуть бути дійсно хорошими,"За погану дорогу в селі, в першу чергу, несе відповідальність…",В Україні існує достатньо можливостей заробляти багато грошей чесним способом,Говорити про секс – соромно,Якщо щось пішло не так – у першу чергу потрібно знайти винних і покарати їх,Якщо щось пішло не так – у першу чергу треба знайти винних і покарати чи знайти збої в системі і причини помилки?,Який із запропонованих сценаріїв життя був би найбільш прийнятним для тебе?,Що ти думаєш про майбутнє України?,Кому ти найбільше довіряєш?,Наука – це щось нудне й далеке від практичного життя,Керівництво держави має отримувати заробітну плату не більше ніж середньостатистичний громадянин,"Якщо є людина, що курила і дожила до 100 років, то куріння не є таким шкідливим, як про це говорять","Для суспільства культура та мистецтво менш важливі, ніж деякі інші аспекти",Чи вважаєш ти себе щасливою людиною?,ЛГБТ-людей треба вилікувати чи виправити,"Бізнесмен - це той, хто забезпечує розвиток економіки і наполегливо працює задля досягнення успіху","Наскільки, на твій погляд, нинішня політична система в Україні дозволяє таким людям, як Ти, впливати на політику?",Помилятись – це погано і ознака поразки та неуспіху,"Мати хороше життя, народившись в селі, майже не реально",Ким ти себе перш за все вважаєш?,"Який основний мотив людей в Україні, які йдуть у політику чи на державну службу?",Для мене гідність залежить від мого успіху та визнання іншими,Вік,"З якими проблемами ти можеш звернутися до батьків або інших дорослих, які про тебе піклуються?","Чи вистачає тобі спілкування з батьками/іншими дорослими, які тебе опікають?",Стать
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Так, скоріше погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Радше знайти збої,"Навчатись за кордоном, повернутись працювати і будувати своє життя в Україні",NA,"Батькам або іншим дорослим, які за тебе відповідають","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Дуже щасливий,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь","Представником свого етносу, нації",Покращити життя в Україні для всіх громадян,"Так, повністю погоджуюсь",15,"['Дружні стосунки', 'Проблеми в школі', 'Шкідливі речовини', ""Проблеми зі здоров'ям (фізичне, психологічне)""]",NA,хлопець
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Ні, скоріше не погоджуюсь",NA,Гарні зв’язки із впливовими людьми,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Радше знайти збої,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином",Скоріш за все ситуація буде погіршуватись,Нікому,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Нейтрально,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Покращити життя певної доволі великої групи громадян,"Так, скоріше погоджуюсь",15,"['Проблеми в школі', 'Конфлікти з членами родини']","Так, скоріше вистачає",хлопець
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,Отримати атестат і диплом - це престижно в Україні,Не дозволяти нікому,"люди, які несуть за щось відповідальність перед іншими","Так, скоріше погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Рівнозначно,Важко відповісти,Важко відповісти,"Батькам або іншим дорослим, які за тебе відповідають","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь",Дуже щасливий,"Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином Європи,Покращити власне матеріальне становище або просто красти,"Ні, повністю не погоджуюсь",17,"['Конфлікти з членами родини', 'Дружні стосунки', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Романтичні стосунки', 'Проблеми в школі']","Так, повністю вистачає",дівчина
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,NA,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, повністю не погоджуюсь",NA,"Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Радше знайти збої,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином","Ситуація не буде погіршуватись, але навряд чи і покращиться",Нікому,"Ні, скоріше не погоджуюсь",NA,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Нещасливий,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином світу,Задовольнити власні амбіції,"Так, скоріше погоджуюсь",15,"[""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Конфлікти з членами родини']","Так, повністю вистачає",дівчина
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,"А я вважаю, що навчання - це порожня трата часу",Слід дозволяти деяким таким людям,багаті люди,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Радше знайти збої,"Навчатись за кордоном, повернутись працювати і будувати своє життя в Україні",Скоріш за все ситуація буде покращуватись,"Батькам або іншим дорослим, які за тебе відповідають","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Дуже щасливий,"Так, повністю погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином Європи,Покращити власне матеріальне становище або просто красти,"Ні, скоріше не погоджуюсь",16,"['Романтичні стосунки', 'Цькування в соцмережах', 'Шкідливі речовини', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Конфлікти з членами родини', 'Дружні стосунки', 'Проблеми в школі']","Так, повністю вистачає",хлопець
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Рівнозначно,"Навчатись і працювати в Україні, будувати своє життя в Україні",Важко відповісти,"Батькам або іншим дорослим, які за тебе відповідають","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Дуже щасливий,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,"Так, скоріше погоджуюсь",15,Проблеми в школі,"Так, повністю вистачає",хлопець
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти деяким таким людям,"інфлюенсери (блогери, актори, співаки, футболісти тощо)","Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь",Радше знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде покращуватись,"Батькам або іншим дорослим, які за тебе відповідають","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Щасливий,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",16,"['Шкідливі речовини', 'Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)""]","Так, скоріше вистачає",хлопець
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,науковці та дослідники,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Знайти збої,"Навчатись за кордоном, лишитись там працювати і будувати там нове життя",Важко відповісти,"Батькам або іншим дорослим, які за тебе відповідають","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Щасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь","Представником свого етносу, нації",Покращити життя в Україні для всіх громадян,"Так, скоріше погоджуюсь",15,"Проблеми зі здоров'ям (фізичне, психологічне)",Важко відповісти,дівчина
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,Отримати атестат і диплом - це престижно в Україні,Слід дозволяти деяким таким людям,багаті люди,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Радше винних,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном",Скоріш за все ситуація буде погіршуватись,Інтернету,Важко відповісти,"Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Нейтрально,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Громадянином світу,Покращити власне матеріальне становище або просто красти,"Так, повністю погоджуюсь",16,Конфлікти з членами родини,"Ні, повністю не вистачає",дівчина
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Докладені зусилля при навчанні та роботі,"А я вважаю, що навчання - це порожня трата часу",Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь",Важко відповісти,"Ні, скоріше не погоджуюсь",Знайти збої,Важко відповісти,Скоріш за все ситуація буде покращуватись,Друзям,"Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Важко відповісти,Дуже щасливий,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Важко відповісти,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",14,"['Дружні стосунки', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Конфлікти з членами родини', 'Проблеми в школі']","Так, повністю вистачає",дівчина
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Важко відповісти,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,"інфлюенсери (блогери, актори, співаки, футболісти тощо)","Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Рівнозначно,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином",Скоріш за все ситуація буде покращуватись,Друзям,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",Нейтрально,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Певною мірою дозволяє,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,"Так, повністю погоджуюсь",15,"[""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Конфлікти з членами родини']","Так, повністю вистачає",дівчина
